                  国证2000 (399303)
      时间	    开盘	    最高	    最低	    收盘	         成交量	   MA.MA1   	   MA.MA2   	   MA.MA3   	   MA.MA4   	   MA.MA5   	   MA.MA6   	   MA.MA7   	   MA.MA8   	VOL-TDX.      	VOL-TDX.VOLUME	VOL-TDX.MAVOL1	VOL-TDX.MAVOL2	 MACD.DIF   	 MACD.DEA   	 MACD.MACD  	
 2010/01/04	 3348.72	 3366.95	 3327.31	 3349.45	       19144872	           	           	           	           	           	           	           	           	          0	   19144872	           	           	       0.00	       0.00	       0.00	
 2010/01/05	 3357.22	 3392.15	 3327.63	 3392.15	       21800540	           	           	           	           	           	           	           	           	          0	   21800540	           	           	       3.41	       0.68	       5.45	
 2010/01/06	 3381.82	 3417.82	 3378.92	 3382.60	       22240316	           	           	           	           	           	           	           	           	          0	   22240316	           	           	       5.27	       1.60	       7.35	
 2010/01/07	 3373.49	 3385.02	 3298.46	 3312.97	       21951872	           	           	           	           	           	           	           	           	          0	   21951872	           	           	       1.12	       1.50	      -0.76	
 2010/01/08	 3291.05	 3354.59	 3287.14	 3354.59	       17006404	    3358.35	           	           	           	           	           	           	           	          0	   17006404	   20428802	           	       1.18	       1.44	      -0.52	
 2010/01/11	 3369.20	 3389.39	 3340.96	 3388.69	       20973832	    3366.20	           	           	           	           	           	           	           	          0	   20973832	   20794592	           	       3.93	       1.94	       3.98	
 2010/01/12	 3384.41	 3463.85	 3384.01	 3463.85	       24789874	    3380.54	           	           	           	           	           	           	           	          0	   24789874	   21392460	           	      12.03	       3.96	      16.15	
 2010/01/13	 3388.17	 3474.25	 3388.17	 3438.37	       24508420	    3391.69	           	           	           	           	           	           	           	          0	   24508420	   21846080	           	      16.21	       6.41	      19.61	
 2010/01/14	 3456.35	 3534.41	 3449.42	 3534.41	       26426628	    3435.98	           	           	           	           	           	           	           	          0	   26426628	   22741030	           	      26.97	      10.52	      32.89	
 2010/01/15	 3543.49	 3566.94	 3536.04	 3566.79	       25687054	    3478.42	    3418.39	           	           	           	           	           	           	          0	   25687054	   24477160	   22452982	      37.67	      15.95	      43.43	
 2010/01/18	 3562.13	 3623.21	 3560.64	 3623.21	       25283676	    3525.33	    3445.76	           	           	           	           	           	           	          0	   25283676	   25339130	   23066860	      50.12	      22.78	      54.67	
 2010/01/19	 3626.04	 3636.35	 3585.90	 3624.55	       26417552	    3557.47	    3469.00	           	           	           	           	           	           	          0	   26417552	   25664666	   23528564	      59.41	      30.11	      58.61	
 2010/01/20	 3626.10	 3626.10	 3482.02	 3491.01	       29501154	    3567.99	    3479.84	           	           	           	           	           	           	          0	   29501154	   26663212	   24254646	      55.37	      35.16	      40.41	
 2010/01/21	 3500.22	 3535.27	 3466.18	 3518.40	       20537896	    3564.79	    3500.39	           	           	           	           	           	           	          0	   20537896	   25485466	   24113248	      53.75	      38.88	      29.74	
 2010/01/22	 3459.41	 3488.39	 3361.47	 3425.39	       22530124	    3536.51	    3507.47	           	           	           	           	           	           	          0	   22530124	   24854080	   24665620	      44.45	      39.99	       8.91	
 2010/01/25	 3392.14	 3429.37	 3372.55	 3374.94	       14954857	    3486.86	    3506.09	           	           	           	           	           	           	          0	   14954857	   22788316	   24063724	      32.63	      38.52	     -11.78	
 2010/01/26	 3382.90	 3388.78	 3203.40	 3236.14	       16444748	    3409.18	    3483.32	           	           	           	           	           	           	          0	   16444748	   20793756	   23229210	      11.93	      33.20	     -42.55	
 2010/01/27	 3240.17	 3272.72	 3180.13	 3217.05	       13053934	    3354.38	    3461.19	           	           	           	           	           	           	          0	   13053934	   17504312	   22083762	      -5.95	      25.37	     -62.64	
 2010/01/28	 3214.18	 3261.89	 3199.88	 3256.71	       12618291	    3302.05	    3433.42	           	           	           	           	           	           	          0	   12618291	   15920390	   20702930	     -16.73	      16.95	     -67.36	
 2010/01/29	 3235.24	 3326.33	 3233.65	 3301.98	       15844980	    3277.36	    3406.94	    3412.66	           	           	           	           	           	          0	   15844980	   14583363	   19718724	     -21.37	       9.29	     -61.31	
 2010/02/01	 3292.20	 3296.57	 3220.87	 3261.37	       15220599	    3254.65	    3370.75	    3408.26	           	           	           	           	           	          0	   15220599	   14636512	   18712414	     -28.00	       1.83	     -59.66	
 2010/02/02	 3281.71	 3301.19	 3236.14	 3238.27	       14597782	    3255.08	    3332.13	    3400.56	           	           	           	           	           	          0	   14597782	   14267117	   17530436	     -34.72	      -5.48	     -58.48	
 2010/02/03	 3246.87	 3281.03	 3132.27	 3281.03	       17734176	    3267.87	    3311.13	    3395.49	           	           	           	           	           	          0	   17734176	   15203165	   16353738	     -36.18	     -11.62	     -49.12	
 2010/02/04	 3256.83	 3344.02	 3250.08	 3321.31	       18061414	    3280.79	    3291.42	    3395.90	           	           	           	           	           	          0	   18061414	   16291792	   16106093	     -33.69	     -16.03	     -35.32	
 2010/02/05	 3239.21	 3299.21	 3228.99	 3255.30	       19728132	    3271.46	    3274.41	    3390.94	           	           	           	           	           	          0	   19728132	   17068420	   15825893	     -36.63	     -20.15	     -32.95	
 2010/02/08	 3244.48	 3266.34	 3235.56	 3254.11	       13510199	    3270.00	    3262.33	    3384.21	           	           	           	           	           	          0	   13510199	   16726341	   15681426	     -38.61	     -23.84	     -29.53	
 2010/02/09	 3241.41	 3265.96	 3229.07	 3250.27	       11185808	    3272.40	    3263.74	    3373.53	           	           	           	           	           	          0	   11185808	   16043946	   15155531	     -40.03	     -27.08	     -25.89	
 2010/02/10	 3273.47	 3296.12	 3261.25	 3296.12	       10835542	    3275.42	    3271.65	    3366.42	           	           	           	           	           	          0	   10835542	   14664219	   14933693	     -37.02	     -29.07	     -15.90	
 2010/02/11	 3295.79	 3300.50	 3275.91	 3278.95	        9517268	    3266.95	    3273.87	    3353.65	           	           	           	           	           	          0	    9517268	   12955390	   14623590	     -35.61	     -30.38	     -10.47	
 2010/02/12	 3289.34	 3326.17	 3286.06	 3323.89	       10792344	    3280.67	    3276.06	    3341.50	           	           	           	           	           	          0	   10792344	   11168232	   14118326	     -30.52	     -30.41	      -0.23	
 2010/02/22	 3311.68	 3355.11	 3309.34	 3334.37	       13297268	    3296.72	    3283.36	    3327.06	           	           	           	           	           	          0	   13297268	   11125646	   13925994	     -25.35	     -29.40	       8.09	
 2010/02/23	 3327.56	 3375.91	 3291.13	 3375.91	       17105152	    3321.85	    3297.13	    3314.63	           	           	           	           	           	          0	   17105152	   12309515	   14176730	     -17.69	     -27.05	      18.72	
 2010/02/24	 3351.72	 3456.97	 3350.77	 3456.97	       19778360	    3354.02	    3314.72	    3312.92	           	           	           	           	           	          0	   19778360	   14098078	   14381149	      -5.03	     -22.65	      35.25	
 2010/02/25	 3467.20	 3522.27	 3464.91	 3522.20	       24487968	    3402.67	    3334.81	    3313.11	           	           	           	           	           	          0	   24487968	   17092220	   15023805	      10.16	     -16.09	      52.49	
 2010/02/26	 3502.06	 3540.62	 3498.17	 3528.38	       23191036	    3443.57	    3362.12	    3318.26	           	           	           	           	           	          0	   23191036	   19571956	   15370094	      22.43	      -8.38	      61.63	
 2010/03/01	 3531.32	 3578.40	 3531.32	 3576.54	       24452606	    3492.00	    3394.36	    3328.34	           	           	           	           	           	          0	   24452606	   21803024	   16464334	      35.63	       0.42	      70.43	
